scheme_name,state,category,department,eligibility,benefits,documents_required,application_process,official_website,min_income,max_income,min_age,max_age,gender,target_category
Seva Benefit Scheme 1,Tamil Nadu,Minority,Rural Development,Resident of Tamil Nadu; category Minority; annual income between 150000 and 650000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/1,150000,650000,21,80,Male,Minority
Seva Benefit Scheme 2,Tamil Nadu,Minority,Minority Affairs,Resident of Tamil Nadu; category Minority; annual income between 150000 and 650000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/2,150000,650000,21,60,All,Minority
Seva Benefit Scheme 3,Maharashtra,Senior Citizen,Rural Development,Resident of Maharashtra; category Senior Citizen; annual income between 0 and 500000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/3,0,500000,40,0,Female,Senior Citizen
Seva Benefit Scheme 4,Uttar Pradesh,Senior Citizen,Health,Resident of Uttar Pradesh; category Senior Citizen; annual income between 150000 and 450000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/4,150000,450000,60,60,All,Senior Citizen
Seva Benefit Scheme 5,Odisha,Disabled,Social Welfare,Resident of Odisha; category Disabled; annual income between 150000 and 350000.,Insurance coverage,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/5,150000,350000,0,45,Female,Disabled
Seva Benefit Scheme 6,Odisha,Farmer,Health,Resident of Odisha; category Farmer; annual income between 100000 and 200000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/6,100000,200000,0,80,Male,Farmer
Seva Benefit Scheme 7,Rajasthan,Farmer,Rural Development,Resident of Rajasthan; category Farmer; annual income between 50000 and 250000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/7,50000,250000,60,60,Male,Farmer
Seva Benefit Scheme 8,Tamil Nadu,SC,Health,Resident of Tamil Nadu; category SC; annual income between 50000 and 550000.,Direct benefit transfer,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/8,50000,550000,0,80,All,SC
Seva Benefit Scheme 9,Tamil Nadu,Student,Social Welfare,Resident of Tamil Nadu; category Student; annual income between 100000 and 200000.,Livelihood support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/9,100000,200000,0,45,Male,Student
Seva Benefit Scheme 10,Bihar,Women,Education,Resident of Bihar; category Women; annual income between 0 and 100000.,Subsidy support,"Aadhar, PAN, Income Certificate, Residence Proof, Bank Passbook.",Apply via nearest CSC or official portal with required documents.,https://gov.example/schemes/10,0,100000,60,60,All,Women
